property,method,n,ME,MAE,RMSE,MRE_percent,MARE_percent
lattice_constant_A,GFN1,23,0.33101784822489394,0.4578667702436986,0.7034684193134377,6.846736233892781,9.464126991319755
lattice_constant_A,GFN2,21,0.4329695504171647,0.5602312346102084,0.8145774440948726,7.959216988902969,10.653018110900382
bulk_modulus_GPa,GFN1,23,501.4045229189724,501.4045229189724,842.1937254683567,526.6820501936323,526.6820501936323
bulk_modulus_GPa,GFN2,21,507.68856043588175,507.68856043588175,849.3775309233536,1500.6772317026362,1500.6772317026362
cohesive_energy_eV_atom,GFN1,23,1.199176623568423,1.5004917872174175,1.920076895888642,79.7437345666826,89.48254826677243
cohesive_energy_eV_atom,GFN2,21,0.3750192846983091,0.8034196686509841,0.9998158921379627,23.20969132349581,35.62088528065281
lattice_constant_A,revPBE_vdW,23,0.10517391304347819,0.10517391304347819,0.12369334451885783,2.259210028144355,2.259210028144355
bulk_modulus_GPa,revPBE_vdW,23,-15.89130434782609,15.92608695652174,23.507974040275375,-13.72186079520412,13.98338416885564
cohesive_energy_eV_atom,revPBE_vdW,23,-0.337391304347826,0.337391304347826,0.4046146851984749,-11.028439599994064,11.028439599994064
lattice_constant_A,rPW86_vdW2,23,0.08826086956521742,0.1160869565217391,0.13978617210955988,1.9885094226197924,2.558980690394259
bulk_modulus_GPa,rPW86_vdW2,23,-19.507826086956523,19.77913043478261,31.13047255887919,-12.10319048520132,16.16096892991974
cohesive_energy_eV_atom,rPW86_vdW2,23,-0.45478260869565207,0.4556521739130435,0.5393474317857767,-15.877743230364512,15.897196590932548
lattice_constant_A,optPBE_vdW,23,0.04956521739130437,0.06399999999999995,0.07734114153484577,1.10968438490088,1.376565893371077
bulk_modulus_GPa,optPBE_vdW,23,-9.32695652173913,9.443478260869565,13.851769624821603,-7.21379170525257,8.738735893881554
cohesive_energy_eV_atom,optPBE_vdW,23,-0.08304347826086955,0.08913043478260867,0.12767145334803706,-2.9278143460728154,3.0555509545725954
lattice_constant_A,optB88_vdW,23,0.012347826086956571,0.0663478260869565,0.07433005126958495,0.3685700315032268,1.3614818535201236
bulk_modulus_GPa,optB88_vdW,23,-6.222173913043479,6.682173913043478,9.836354706548736,-3.0804002574223497,7.620144195525998
cohesive_energy_eV_atom,optB88_vdW,23,-0.0008695652173913148,0.07304347826086953,0.10099504938362072,-1.250742866173508,2.910619795568478
lattice_constant_A,optB86b_vdW,23,0.009521739130434796,0.049434782608695556,0.05934021292146842,0.280530404955557,0.9975046090206506
bulk_modulus_GPa,optB86b_vdW,23,-3.089565217391303,4.466086956521739,6.4166454733322125,-2.701120739819153,5.045140168631055
cohesive_energy_eV_atom,optB86b_vdW,23,0.09608695652173918,0.11608695652173913,0.1798429266356327,2.10188552935234,3.150167715827326
lattice_constant_A,LDA,23,-0.09956521739130429,0.09956521739130429,0.132778992576255,-1.9986279927647193,1.9986279927647193
bulk_modulus_GPa,LDA,23,10.335652173913045,10.944347826086958,18.588121499214633,14.522633331456257,15.261141381409871
cohesive_energy_eV_atom,LDA,23,0.5656521739130435,0.5656521739130435,0.7340270105206709,15.127774054407466,15.127774054407466
lattice_constant_A,PBEsol,23,-0.005695652173912957,0.03282608695652171,0.047013873992961704,-0.08895456561391545,0.6657673531968115
bulk_modulus_GPa,PBEsol,23,1.6143478260869564,4.796956521739129,8.23423790724093,0.21361008207230694,4.759571647902436
cohesive_energy_eV_atom,PBEsol,23,0.201304347826087,0.22217391304347825,0.33242848201105435,4.791119810370772,6.013124961326727
lattice_constant_A,PBE,23,0.061304347826086965,0.06721739130434776,0.07881017369769505,1.2837052311378556,1.4033339119767896
bulk_modulus_GPa,PBE,23,-7.41782608695652,7.488260869565216,10.834330901673463,-7.798521139872444,8.43428446121929
cohesive_energy_eV_atom,PBE,23,-0.10695652173913035,0.12956521739130428,0.16455473517819294,-4.4258872404516065,4.962398428266906
lattice_constant_A,GFN1:alkali_metal,5,0.499205440039521,0.5856334255187123,0.7064501327940973,12.041348749406918,13.591348488990695
lattice_constant_A,GFN1:alkaline_earth_metal,3,1.635027248040472,1.635027248040472,1.6486258212399314,29.760039229653852,29.760039229653852
lattice_constant_A,GFN1:covalent,2,0.07770320809327291,0.07780279281231994,0.1099593703027771,1.7893132004681231,1.7921239461369638
lattice_constant_A,GFN1:ionic,5,-0.2485186109598457,0.2485186109598457,0.2622660431905215,-5.24443672315639,5.24443672315639
lattice_constant_A,GFN1:semiconductor,3,0.11536425577762473,0.11536425577762473,0.12210587901258758,2.086240536333031,2.086240536333031
lattice_constant_A,GFN1:simple_metal,1,0.5011449491909676,0.5011449491909676,0.5011449491909676,12.466292268432031,12.466292268432031
lattice_constant_A,GFN1:transition_metal,4,0.11306262173559511,0.11306262173559511,0.13107653669051025,2.976653820238099,2.976653820238099
lattice_constant_A,GFN2:alkali_metal,5,1.042308775138181,1.095837598046764,1.2154644165399022,19.43180396496536,20.983813907226384
lattice_constant_A,GFN2:alkaline_earth_metal,3,1.400279519144517,1.400279519144517,1.4005829718482465,25.433662806217715,25.433662806217715
lattice_constant_A,GFN2:covalent,2,0.030794974405514264,0.03393761494308345,0.04582676245013693,0.7010736517194112,0.7897736386674548
lattice_constant_A,GFN2:ionic,4,-0.22562839172832105,0.2370391184473808,0.3044188759154285,-4.265386919782894,4.553245817841919
lattice_constant_A,GFN2:semiconductor,3,0.17666375609285367,0.19077360787575515,0.25799389770504877,3.1280629664505426,3.3885846020284873
lattice_constant_A,GFN2:simple_metal,1,-0.2527831881921778,0.2527831881921778,0.2527831881921778,-6.2881390097556675,6.2881390097556675
lattice_constant_A,GFN2:transition_metal,3,0.08123122121729143,0.08123122121729143,0.08968918954573477,2.0822996698597436,2.0822996698597436
bulk_modulus_GPa,GFN1:alkali_metal,5,30.59521216458834,30.59521216458834,38.83320314895513,629.1554070456218,629.1554070456218
bulk_modulus_GPa,GFN1:alkaline_earth_metal,3,35.38354432619775,35.38354432619775,43.52521637506446,235.80362721676843,235.80362721676843
bulk_modulus_GPa,GFN1:covalent,2,2113.1454537085706,2113.1454537085706,2335.1343349486638,599.4238204358651,599.4238204358651
bulk_modulus_GPa,GFN1:ionic,5,426.1858415740706,426.1858415740706,475.48780975110293,685.3108901790372,685.3108901790372
bulk_modulus_GPa,GFN1:semiconductor,3,416.8216123082054,416.8216123082054,424.3359147915649,497.53222106179766,497.53222106179766
bulk_modulus_GPa,GFN1:simple_metal,1,146.23930799540443,146.23930799540443,146.23930799540443,184.1804886591995,184.1804886591995
bulk_modulus_GPa,GFN1:transition_metal,4,879.8132682818297,879.8132682818297,962.124727456624,489.57999849090425,489.57999849090425
bulk_modulus_GPa,GFN2:alkali_metal,5,144.37416956451915,144.37416956451915,145.5111619423428,3937.0347215058378,3937.0347215058378
bulk_modulus_GPa,GFN2:alkaline_earth_metal,3,210.3749021415482,210.3749021415482,214.66554797419576,1652.7981775663432,1652.7981775663432
bulk_modulus_GPa,GFN2:covalent,2,2198.5715712600268,2198.5715712600268,2399.773973373801,631.5313094791001,631.5313094791001
bulk_modulus_GPa,GFN2:ionic,4,213.17764554452881,213.17764554452881,220.61899358552145,531.7240227607133,531.7240227607133
bulk_modulus_GPa,GFN2:semiconductor,3,273.60168027982223,273.60168027982223,325.2229347353122,307.0800940616596,307.0800940616596
bulk_modulus_GPa,GFN2:simple_metal,1,1107.992997285604,1107.992997285604,1107.992997285604,1395.457175422675,1395.457175422675
bulk_modulus_GPa,GFN2:transition_metal,3,709.9374840276793,709.9374840276793,741.3265239468748,387.99918597281254,387.99918597281254
cohesive_energy_eV_atom,GFN1:alkali_metal,5,3.0633919317232836,3.0633919317232836,3.1926733792374167,313.66497836577366,313.66497836577366
cohesive_energy_eV_atom,GFN1:alkaline_earth_metal,3,-0.03831048841715708,0.5197195684422666,0.5519151104680848,-2.766797732779139,27.971461608439327
cohesive_energy_eV_atom,GFN1:covalent,2,1.412137740725647,1.412137740725647,1.5183430992062763,19.57617585001815,19.57617585001815
cohesive_energy_eV_atom,GFN1:ionic,5,0.7105845524756179,0.7812130611483332,0.9107883731009729,19.717051212663232,21.0572506182176
cohesive_energy_eV_atom,GFN1:semiconductor,3,0.7320957906917892,0.7320957906917892,0.8273083824743281,19.776538076992434,19.776538076992434
cohesive_energy_eV_atom,GFN1:simple_metal,1,1.1388006074930659,1.1388006074930659,1.1388006074930659,33.104668822472846,33.104668822472846
cohesive_energy_eV_atom,GFN1:transition_metal,4,0.6666869813277406,1.8924409938239992,2.280666078225853,10.977376396591463,42.246611409251116
cohesive_energy_eV_atom,GFN2:alkali_metal,5,0.8116361637459064,0.8116361637459064,0.8724250344001213,85.76849132892265,85.76849132892265
cohesive_energy_eV_atom,GFN2:alkaline_earth_metal,3,-0.31197413158250814,0.31197413158250814,0.31896461334313436,-17.186229273248113,17.186229273248113
cohesive_energy_eV_atom,GFN2:covalent,2,0.3012808850123516,0.985802085348741,1.0308132338846607,3.2163321886458762,13.763654227727379
cohesive_energy_eV_atom,GFN2:ionic,4,0.27828668466726403,0.430312094426355,0.5053937693435314,8.147479827343357,11.967213740888358
cohesive_energy_eV_atom,GFN2:semiconductor,3,-0.8579032056336637,0.8579032056336637,1.0537628328722302,-20.190686288077554,20.190686288077554
cohesive_energy_eV_atom,GFN2:simple_metal,1,1.3944186783273644,1.3944186783273644,1.3944186783273644,40.53542669556292,40.53542669556292
cohesive_energy_eV_atom,GFN2:transition_metal,3,1.4055763281874505,1.4055763281874505,1.6791794261586077,30.377932483515863,30.377932483515863
